primary_key,generation_id,fact_length,fact
31,1,paragraph,"People practiced poor hygiene: While it’s common today for people to wash their hair daily, during the early 1900s, most only washed theirs about once a month. Not to mention, they also didn’t use shampoo, at least not in the traditional sense. Instead, they often opted for a beaten egg mixed with water."
32,1,paragraph,"It was common to be illiterate: In fact, about 10 percent of people under the age of 14 were unable to read or write in any language. Luckily, this statistic began to improve in the following decades thanks to expanded public education spending"
33,1,sentence,Only 6.4 percent of Americans graduated from high school.
34,1,paragraph,"Doctors commonly prescribed heroin to their patients: In fact, you didn’t even have to suffer from anything too severe to get the hard drug. Common ailments that garnered such a prescription included asthma, bronchitis, tuberculosis, and even the common cough."
35,1,sentence,"The average life expectancy was very low: Caucasian-Americans were only expected to live to the tender age of 48, while African-Americans were only expected to live to 33. "
36,1,paragraph,"Most people didn’t own or even have access to a bath tub: In fact, having running water at all was pretty much a luxury well into the first couple decades of the century. While it’s impossible to imagine a home without one today, only 14 percent of homes between 1900 and 1920 had one."
37,1,paragraph,The speed limit for drivers was extremely low: Just how low? Try 12 miles per hour! The first speed limit for the newly introduced automobile was barely faster than some people can run. Just imagine how long it would take to drive cross-country.
38,1,paragraph,"Most people’s parents didn’t live long enough to see their children grow up: There was a slim chance that one, let alone both, parents would live long enough to see their children get married. Roughly 50 percent of people during this era had lost one of their parents by the time they were 21 years old."
39,1,paragraph,"Many children didn’t go to school: No, this wasn’t a time where America’s children were living the dream. Instead, they were performing manual labor in factories and on their family farms. Luckily, child labor laws helped change that."
40,1,paragraph,"Most births took place right in your home: In fact, up until 1957, roughly 95 percent of newborns were delivered in their parents’ place of residence"
41,1,paragraph,"Workers weren’t given very many rights: Sure, jobs were aplenty at the time, but they weren’t exactly a breeze. Not only was there immense pressure to perform your job well, but most employees were subjected to constant inspections to be sure that they were working to employer’s often treacherous standards."
42,1,paragraph,"The jobs that the immigrants were able to secure were often the lowest paid, most physically intensive positions available. They toiled in mines, mills, factories, sweat-shops, and on shipping docks."
